,index,ID,Parking,Price,Windows,Ceiling_height_m,Trash_chute,Total_area,Number_of_rooms,Walking,Metro_minutes,Floor,Floors_total,Loggia,Balcon_count,Bathroom_count,Elevator_count
1,1,271634126,3,500000.0,3,3.5,0.0,198.0,4.0,1.0,8.0,5,16,0,1,3,2
2,2,271173086,3,500000.0,3,3.2,0.0,200.0,4.0,1.0,7.0,5,16,0,1,3,1
3,3,272197456,3,400000.0,3,3.2,0.0,170.0,4.0,1.0,3.0,5,6,0,1,3,1
4,4,273614615,3,225000.0,3,3.9,1.0,58.0,2.0,1.0,7.0,12,26,0,1,2,2
5,5,274837728,3,470000.0,3,3.9,1.0,92.0,3.0,1.0,5.0,3,7,0,1,2,2
6,6,273643908,0,350000.0,3,3.2,1.0,213.0,5.0,1.0,4.0,4,5,0,1,2,1
7,7,274475342,3,250000.0,2,3.2,0.0,98.0,3.0,1.0,3.0,2,4,0,1,2,1
8,8,273973191,1,130000.0,1,3.0,0.0,120.0,3.0,1.0,9.0,5,10,0,1,1,1
9,9,272900409,1,210000.0,3,310.0,1.0,90.0,4.0,1.0,10.0,2,7,0,1,2,1
10,10,271036964,3,290000.0,3,3.2,1.0,170.0,4.0,1.0,5.0,6,7,0,1,3,1
11,11,273999490,3,100000.0,3,3.2,1.0,80.0,3.0,1.0,2.0,4,8,0,3,1,1
12,12,274017037,3,200000.0,2,3.2,1.0,100.0,3.0,1.0,8.0,2,4,0,3,2,1
13,13,273231024,3,500000.0,1,3.2,1.0,180.0,5.0,1.0,9.0,6,8,1,0,3,3
14,14,274839211,3,450000.0,1,3.2,1.0,222.2,5.0,1.0,5.0,5,9,0,1,2,1
15,15,274767901,3,450000.0,1,3.2,1.0,225.0,5.0,1.0,6.0,5,9,0,1,2,4
16,16,274995950,3,120000.0,1,3.2,1.0,30.0,2.0,1.0,10.0,19,26,0,1,1,4
17,17,274945807,3,450000.0,1,3.2,1.0,222.0,5.0,1.0,5.0,5,9,0,1,1,4
18,18,272911145,0,180000.0,1,3.2,1.0,150.0,5.0,1.0,12.0,4,7,0,1,2,1
19,19,274748017,0,190000.0,3,3.2,1.0,201.0,5.0,1.0,6.0,3,3,0,1,3,1
20,20,273941734,0,205000.0,1,3.2,0.0,64.0,2.0,1.0,9.0,12,26,0,1,2,1
21,21,274493570,3,230000.0,3,3.2,0.0,112.0,3.0,1.0,5.0,2,7,0,1,2,1
22,22,274849101,3,590000.0,3,3.2,0.0,190.0,4.0,1.0,5.0,4,5,0,1,2,1
23,23,223918678,3,850000.0,2,3.2,0.0,255.6,5.0,1.0,8.0,8,9,0,1,3,1
24,24,274391259,1,190000.0,3,3.3,1.0,186.0,5.0,1.0,5.0,3,3,0,1,2,1
25,25,272945376,0,200000.0,3,3.2,1.0,100.0,3.0,1.0,5.0,3,8,0,1,2,1
26,26,272612966,0,200000.0,2,3.2,1.0,150.0,5.0,1.0,11.0,4,7,0,1,2,1
27,27,271568490,0,300000.0,1,3.2,1.0,140.0,5.0,1.0,7.0,2,7,0,1,2,1
28,28,264664760,0,400000.0,1,3.2,1.0,132.8,3.0,1.0,15.0,5,13,0,1,2,1
29,29,228923308,3,750000.0,3,3.0,1.0,256.0,5.0,1.0,10.0,8,10,0,1,4,2
30,30,267489303,1,870000.0,3,4.0,1.0,380.0,6.0,1.0,5.0,3,6,0,1,3,1
31,31,273353104,3,350000.0,3,3.15,1.0,112.0,3.0,1.0,7.0,3,13,0,1,2,1
32,32,273353103,3,400000.0,3,3.15,1.0,91.0,2.0,1.0,7.0,10,13,0,1,2,1
33,33,268321690,3,400000.0,3,3.15,1.0,135.0,3.0,1.0,11.0,5,13,0,1,2,3
34,34,269496185,3,590000.0,3,3.2,0.0,190.0,4.0,1.0,3.0,4,5,0,1,2,2
35,35,272188531,3,135000.0,3,4.15,1.0,44.0,2.0,1.0,15.0,21,26,0,1,1,2
36,36,272727784,3,150000.0,3,4.15,1.0,85.0,3.0,1.0,15.0,7,7,0,1,1,2
37,37,267110043,3,320000.0,1,3.0,1.0,100.0,2.0,1.0,7.0,5,7,0,1,2,2
38,38,265323319,3,400000.0,1,3.15,1.0,133.3,3.0,1.0,7.0,5,13,0,1,2,2
39,39,265804792,3,400000.0,3,3.8,1.0,210.0,4.0,1.0,7.0,3,5,0,1,3,2
40,40,239000408,3,450000.0,3,3.8,1.0,180.0,4.0,1.0,9.0,4,4,0,1,2,2
41,41,271209314,3,470000.0,3,3.35,1.0,165.0,4.0,1.0,5.0,9,16,0,1,2,2
42,42,269889430,3,590000.0,3,4.05,1.0,190.0,4.0,1.0,6.0,4,6,0,1,2,2
43,43,241704098,3,600000.0,3,3.35,1.0,168.0,4.0,1.0,5.0,4,16,0,1,2,2
44,44,239000331,3,850000.0,3,3.35,1.0,250.0,5.0,1.0,8.0,8,9,0,1,3,2
45,45,272823500,3,150000.0,3,3.35,1.0,85.0,3.0,1.0,7.0,7,7,0,1,1,1
46,46,274402813,3,195000.0,3,3.35,1.0,105.0,3.0,1.0,5.0,6,17,0,1,3,1
47,47,270190788,3,300000.0,3,3.35,1.0,134.0,3.0,1.0,5.0,8,16,0,1,2,1
48,48,271265359,0,90000.0,3,3.2,1.0,60.0,2.0,1.0,5.0,5,6,0,1,1,1
49,49,274289253,0,150000.0,3,3.2,1.0,85.0,3.0,1.0,7.0,7,7,0,1,1,1
